,BirdID,Brood.code,Chick.code,social.fem,social.male,Age,Date,Year,Time,Mass,Chick.order,Air.temp,max.temp,CF.brood.no,f.cc,femID,m.cc,maleID,maxage,surv
228,10096,R045,CR0129,NM/YW,BR/MN,5,21/05/2018,2018,08:00:00,8.5,2,15.1,30.86999218,NA,NM/YW,9474,BR/MN,9592,12,1
226,10096,R045,CR0129,NM/YW,BR/MN,10,26/05/2018,2018,08:32:00,15,2,15.5,37.81775021,NA,NM/YW,9474,BR/MN,9592,12,1
229,10096,R045,CR0129,NM/YW,BR/MN,12,28/05/2018,2018,10:31:00,19.2,2,22.2,38.7,NA,NM/YW,9474,BR/MN,9592,12,1
230,10097,R041,CR0130,NA,NA,2,18/05/2018,2018,07:29:00,2.1,4,10.8,19.2,NA,NA,NA,NA,NA,2,0
231,10098,R036,CR0131,OB/MY,NA,2,18/05/2018,2018,07:43:00,4.3,1,10.8,31.4,R041,OB/MY,9252,NA,NA,12,1
232,10098,R041,CR0131,NA,NA,5,21/05/2018,2018,08:08:00,7.8,2,14.2,32.10390534,NA,NA,NA,NA,NA,12,1
233,10098,R041,CR0131,NA,NA,10,26/05/2018,2018,09:08:00,10.5,3,14.6,36.22395208,NA,NA,NA,NA,NA,12,1
234,10098,R041,CR0131,NA,NA,12,28/05/2018,2018,09:19:00,13.3,3,20.4,38.21575039,NA,NA,NA,NA,NA,12,1
237,10099,R036,CR0132,OB/MY,NA,2,18/05/2018,2018,07:43:00,4,2,10.8,30.7,R041,OB/MY,9252,NA,NA,12,1
236,10099,R041,CR0132,NA,NA,5,21/05/2018,2018,08:08:00,10.5,1,14.2,35.36837244,NA,NA,NA,NA,NA,12,1
238,10099,R041,CR0132,NA,NA,10,26/05/2018,2018,09:08:00,18.4,2,14.6,37.94861429,NA,NA,NA,NA,NA,12,1
235,10099,R041,CR0132,NA,NA,12,28/05/2018,2018,09:19:00,22.3,1,20.2,39.12901554,NA,NA,NA,NA,NA,12,1
239,10102,R046,CR0135,WR/YM,CW/NM,2,20/05/2018,2018,07:45:00,2.8,1,12.5,25.1,R047,WR/YM,9066,CW/NM,9893,5,0
240,10102,R047,CR0135,YO/MB,NA,5,23/05/2018,2018,10:42:00,7.2,1,20.1,33.69698982,NA,YO/MB,8693,NA,NA,5,1
241,10103,R046,CR0136,WR/YM,CW/NM,2,20/05/2018,2018,07:45:00,3.2,2,12.5,25.4,R047,WR/YM,9066,CW/NM,9893,5,1
