Offspring,Dam,Sire,Cohort
58,4498,4409,2001
59,4498,4409,2001
60,4498,4409,2001
61,4498,4409,2001
62,4498,4409,2001
63,4178,4265,2001
64,4178,4265,2001
65,4178,4265,2001
66,4178,4265,2001
67,4434,4229,2001
68,4434,4229,2001
69,4434,4229,2001
70,4434,4229,2001
71,4408,4417,2001
72,4408,4417,2001
73,4408,4417,2001
74,NA,NA,2001
75,4137,4417,2001
76,4333,4274,2001
77,4333,4274,2001
78,4333,4274,2001
79,4333,4274,2001
80,4291,4158,2001
81,4291,4158,2001
82,4291,4158,2001
83,4291,4158,2001
84,4246,4406,2001
85,NA,NA,2001
86,4246,4406,2001
87,4246,4406,2001
88,4246,4406,2001
89,4465,4410,2001
90,4465,4410,2001
91,4465,4410,2001
92,4465,4410,2001
93,NA,NA,2001
94,4277,4247,2001
95,4277,4247,2001
96,4277,4247,2001
97,NA,NA,2001
98,4134,4295,2001
99,4134,4295,2001
100,4134,4295,2001
101,4255,4419,2001
102,4255,4419,2001
103,4255,4439,2001
104,4255,4419,2001
105,4255,4419,2001
106,4252,4419,2001
107,4255,4419,2001
108,4468,4477,2001
109,NA,NA,2001
110,4468,4477,2001
111,4468,4477,2001
112,4497,4470,2001
113,4497,4470,2001
114,4497,4470,2001
115,4497,4470,2001
116,4497,4470,2001
117,4157,4402,2001
118,4157,4483,2001
119,4157,4483,2001
120,4157,4483,2001
121,4217,4326,2001
122,4217,4326,2001
123,4217,4326,2001
124,NA,NA,2001
125,4217,4326,2001
126,4405,4463,2001
127,4405,4463,2001
128,4405,4463,2001
129,4447,4403,2001
130,4447,4403,2001
131,NA,NA,2001
132,4447,4403,2001
133,4447,4403,2001
134,4137,4435,2001
135,4137,4435,2001
136,4137,4135,2001
137,4137,4435,2001
138,NA,NA,2001
139,4437,4415,2001
140,4437,4415,2001
141,NA,NA,2001
142,4310,4211,2001
143,4443,4303,2001
144,4443,4303,2001
145,4189,4303,2001
146,4443,4303,2001
147,4290,4412,2001
148,4290,4412,2001
149,4290,4412,2001
150,4438,4432,2001
151,4438,4432,2001
152,4438,4432,2001
153,4438,4432,2001
154,NA,NA,2001
155,4494,4418,2001
156,4494,4418,2001
157,4494,4412,2001
158,4494,4135,2001
159,4500,4499,2001
160,4500,4499,2001
161,4177,4153,2001
162,4177,4153,2001
163,4177,4153,2001
164,4177,4153,2001
165,4177,4153,2001
166,4436,4230,2001
167,4436,4230,2001
168,4436,4230,2001
169,4436,4230,2001
170,4489,4275,2001
171,4489,4275,2001
172,4489,4275,2001
173,4489,4275,2001
174,4489,4275,2001
175,4468,4417,2001
176,4468,4417,2001
177,4468,4417,2001
178,4468,4417,2001
179,4434,4229,2001
180,4434,4229,2001
181,4434,4229,2001
182,4434,4229,2001
183,4434,4229,2001
184,4246,4406,2001
185,4246,4406,2001
186,4246,4406,2001
187,4246,4406,2001
188,4246,4406,2001
189,4134,4295,2001
190,4134,4295,2001
191,4134,4295,2001
192,4134,4295,2001
193,NA,NA,2001
194,4498,4409,2001
195,4498,4409,2001
196,4498,4409,2001
197,4498,4409,2001
198,4291,4410,2001
199,4291,4410,2001
200,NA,NA,2001
201,NA,NA,2001
202,4440,4304,2001
203,4440,4304,2001
204,4440,4304,2001
205,4440,4304,2001
206,4497,4470,2001
207,4497,4470,2001
208,4497,4470,2001
209,NA,NA,2001
210,NA,NA,2001
211,4465,4410,2001
212,4465,4410,2001
213,4465,4410,2001
214,NA,NA,2001
215,4277,4402,2001
216,4277,4450,2001
217,4277,4450,2001
218,4255,4439,2001
219,4255,4439,2001
220,NA,NA,2001
221,4255,4439,2001
222,4178,4265,2001
223,4178,4265,2001
224,NA,NA,2001
225,4178,4265,2001
226,NA,NA,2001
227,NA,NA,2001
228,NA,NA,2001
229,NA,NA,2001
230,NA,NA,2001
231,4178,4264,2001
232,4178,4265,2001
233,4178,4265,2001
234,NA,NA,2001
235,4333,4274,2001
236,4333,4274,2001
237,NA,NA,2001
238,NA,NA,2001
239,NA,NA,2001
240,NA,NA,2001
241,NA,NA,2001
242,NA,NA,2001
243,NA,NA,2001
244,NA,NA,2001
245,NA,NA,2001
246,NA,NA,2001
247,NA,NA,2001
248,NA,NA,2001
249,4442,4413,2001
250,4285,4480,2001
251,4273,4135,2001
252,NA,NA,2001
722,4497,4282,2001
723,4177,4467,2001
724,4447,4477,2001
4382,4500,4418,2001
4421,4178,4477,2001
4422,4273,4429,2001
4423,4290,4275,2001
4424,4465,4229,2001
4427,4213,4412,2001
253,4436,4230,2002
254,4436,4230,2002
255,4436,4230,2002
256,4436,4230,2002
257,4436,4230,2002
258,4277,4247,2002
259,4277,4247,2002
260,4277,4247,2002
261,NA,NA,2002
262,28,4325,2002
263,28,4325,2002
264,NA,NA,2002
265,NA,NA,2002
266,4213,35,2002
267,4213,35,2002
268,4213,35,2002
269,4504,4464,2002
270,NA,NA,2002
271,NA,4464,2002
272,4246,115,2002
273,NA,NA,2002
274,NA,NA,2002
275,NA,NA,2002
276,4376,4247,2002
277,NA,NA,2002
278,4376,4478,2002
279,4376,4478,2002
280,NA,NA,2002
281,60,4295,2002
282,60,4419,2002
283,NA,NA,2002
284,4468,20,2002
285,4468,20,2002
286,4291,4417,2002
287,4291,4417,2002
288,4291,71,2002
289,206,4429,2002
290,206,126,2002
291,206,126,2002
292,4420,114,2002
293,4420,114,2002
294,4420,114,2002
295,NA,NA,2002
296,123,4303,2002
297,123,4303,2002
298,123,4303,2002
299,123,4303,2002
300,108,4153,2002
301,108,4153,2002
