"BirdID","Dam","Sire"
"3329",NA,NA
"3345",NA,NA
"3352",NA,NA
"3366",NA,NA
"3367",NA,NA
"3368",NA,NA
"3369",NA,NA
"3408",NA,NA
"3409",NA,NA
"3410",NA,NA
"3444",NA,NA
"3451",NA,NA
"3464",NA,NA
"3465",NA,NA
"3488",NA,NA
"3489",NA,NA
"3490",NA,NA
"3500",NA,NA
"3517",NA,NA
"3535",NA,NA
"3563",NA,NA
"3574",NA,NA
"3577",NA,NA
"4397",NA,NA
"5153",NA,NA
"3580",NA,NA
"3581",NA,NA
"3586",NA,NA
"3594",NA,NA
"3595",NA,NA
"3601",NA,NA
"3603",NA,NA
"3605",NA,NA
"3610",NA,NA
"3615",NA,NA
"3616",NA,NA
"3622",NA,NA
"3628",NA,NA
"3640",NA,NA
"3641",NA,NA
"3653",NA,NA
"3658",NA,NA
"3659",NA,NA
"3660",NA,NA
"3664",NA,NA
"3671",NA,NA
"3672",NA,NA
"3673",NA,NA
"3674",NA,NA
"3689",NA,NA
"3690",NA,NA
"3692",NA,NA
"3693",NA,NA
"3694",NA,NA
"3697",NA,NA
"3702",NA,NA
"3703",NA,NA
"3704",NA,NA
"3705",NA,NA
"3706",NA,NA
"3707",NA,NA
"3709",NA,NA
"3718",NA,NA
"3721",NA,NA
"3753",NA,NA
"3755",NA,NA
"3791",NA,NA
"3798",NA,NA
"3799",NA,NA
"3800",NA,NA
"3801",NA,NA
"3805",NA,NA
"3809",NA,NA
"3810",NA,NA
"3811",NA,NA
"3812",NA,NA
"3813",NA,NA
"3814",NA,NA
"3834",NA,NA
"3853",NA,NA
"3857",NA,NA
"3860",NA,NA
"3864",NA,NA
"3869",NA,NA
"3870",NA,NA
"3874",NA,NA
"3875",NA,NA
"3876",NA,NA
"3877",NA,NA
"3878",NA,NA
"3881",NA,NA
"3890",NA,NA
"3895",NA,NA
"3896",NA,NA
"3897",NA,NA
"3900",NA,NA
"3901",NA,NA
"3902",NA,NA
"3924",NA,NA
"3938",NA,NA
"3941",NA,NA
"3942",NA,NA
"3947",NA,NA
"3950",NA,NA
"3951",NA,NA
"3952",NA,NA
"3953",NA,NA
"3956",NA,NA
"3957",NA,NA
"3966",NA,NA
"3968",NA,NA
"3970",NA,NA
"3977",NA,NA
"3978",NA,NA
"4000",NA,NA
"4003",NA,NA
"4004",NA,NA
"4006",NA,NA
"4009",NA,NA
"4010",NA,NA
"4011",NA,NA
"4012",NA,NA
"4020",NA,NA
"4021",NA,NA
"4030",NA,NA
"4041",NA,NA
"4065",NA,NA
"4066",NA,NA
"4090",NA,NA
"4091",NA,NA
"4092",NA,NA
"4093",NA,NA
"4104",NA,NA
"4112",NA,NA
"4122",NA,NA
"4123",NA,NA
"4124",NA,NA
"4125",NA,NA
"4126",NA,NA
"4127",NA,NA
"4128",NA,NA
"4129",NA,NA
"4130",NA,NA
"4131",NA,NA
"4132",NA,NA
"4509",NA,NA
"4513",NA,NA
"4519",NA,NA
"4520",NA,NA
"4526",NA,NA
"4527",NA,NA
"4528",NA,NA
"4529",NA,NA
"4533",NA,NA
"4535",NA,NA
"4536",NA,NA
"4537",NA,NA
"4539",NA,NA
"4540",NA,NA
"4541",NA,NA
"4546",NA,NA
"4550",NA,NA
"4551",NA,NA
"4552",NA,NA
"4553",NA,NA
"4554",NA,NA
"4555",NA,NA
"4556",NA,NA
"4557",NA,NA
"4562",NA,NA
"4566",NA,NA
"4567",NA,NA
"4572",NA,NA
"4578",NA,NA
"4579",NA,NA
"4591",NA,NA
"4592",NA,NA
"4600",NA,NA
"4602",NA,NA
"4611",NA,NA
"4612",NA,NA
"4613",NA,NA
"4617",NA,NA
"4622",NA,NA
"4625",NA,NA
"4630",NA,NA
"4631",NA,NA
"4632",NA,NA
"4633",NA,NA
"4634",NA,NA
"4635",NA,NA
"4641",NA,NA
"4642",NA,NA
"4643",NA,NA
"4659",NA,NA
"4660",NA,NA
"4665",NA,NA
"4670",NA,NA
"4683",NA,NA
"4688",NA,NA
"4692",NA,NA
"4696",NA,NA
"4700",NA,NA
"4704",NA,NA
"4708",NA,NA
"4709",NA,NA
"4710",NA,NA
"4715",NA,NA
"4719",NA,NA
"4720",NA,NA
"4724",NA,NA
"4727",NA,NA
"4728",NA,NA
"4731",NA,NA
"4732",NA,NA
"4740",NA,NA
"4741",NA,NA
"4742",NA,NA
"4743",NA,NA
"4746",NA,NA
"4747",NA,NA
"4748",NA,NA
"4754",NA,NA
"4761",NA,NA
"5048",NA,NA
"4770",NA,NA
"4771",NA,NA
"4772",NA,NA
"4773",NA,NA
"4776",NA,NA
"4777",NA,NA
"4778",NA,NA
"4779",NA,NA
"4780",NA,NA
"4781",NA,NA
"4782",NA,NA
"4783",NA,NA
"4784",NA,NA
"4785",NA,NA
"4786",NA,NA
"4787",NA,NA
"4788",NA,NA
"4789",NA,NA
"4790",NA,NA
"4791",NA,NA
"4792",NA,NA
"4793",NA,NA
"4794",NA,NA
"4795",NA,NA
"4796",NA,NA
"4797",NA,NA
"4800",NA,NA
"4801",NA,NA
"4802",NA,NA
"4803",NA,NA
"4804",NA,NA
"4808",NA,NA
"4813",NA,NA
"4814",NA,NA
"4828",NA,NA
"4833",NA,NA
"4835",NA,NA
"4836",NA,NA
"4837",NA,NA
"4838",NA,NA
"4841",NA,NA
"4848",NA,NA
"4849",NA,NA
"4850",NA,NA
"4851",NA,NA
"4860",NA,NA
"4861",NA,NA
"4865",NA,NA
"4866",NA,NA
"4875",NA,NA
"4880",NA,NA
"4882",NA,NA
"4883",NA,NA
"4884",NA,NA
"4887",NA,NA
"4889",NA,NA
"4890",NA,NA
"4891",NA,NA
"4892",NA,NA
"4893",NA,NA
"4894",NA,NA
"4899",NA,NA
"4911",NA,NA
"4912",NA,NA
"4916",NA,NA
"4917",NA,NA
"4918",NA,NA
"4922",NA,NA
"4923",NA,NA
"4924",NA,NA
"4925",NA,NA
"4926",NA,NA
"4932",NA,NA
"4958",NA,NA
"4970",NA,NA
"4971",NA,NA
"4975",NA,NA
"4983",NA,NA
"4984",NA,NA
"4988",NA,NA
"4992",NA,NA
"4993",NA,NA
"4994",NA,NA
"4995",NA,NA
"5000",NA,NA
"5002",NA,NA
"5012",NA,NA
"5013",NA,NA
"5016",NA,NA
"5019",NA,NA
"5021",NA,NA
"5022",NA,NA
"5026",NA,NA
"5027",NA,NA
"5034",NA,NA
"5037",NA,NA
"5039",NA,NA
"5040",NA,NA
"5041",NA,NA
"5043",NA,NA
"5050",NA,NA
"5068",NA,NA
"5071",NA,NA
"5072",NA,NA
"5073",NA,NA
"5074",NA,NA
"5075",NA,NA
"5076",NA,NA
"5077",NA,NA
"5078",NA,NA
"5080",NA,NA
"5604",NA,NA
"5605",NA,NA
"5644",NA,NA
"5645",NA,NA
"5647",NA,NA
"5051",NA,NA
"5088",NA,NA
"5111",NA,NA
"5112",NA,NA
"5126",NA,NA
"5128",NA,NA
"5177",NA,NA
"5178",NA,NA
"5224",NA,NA
"5225",NA,NA
"5231",NA,NA
"5236",NA,NA
"5237",NA,NA
"5240",NA,NA
"5247",NA,NA
"5248",NA,NA
"5256",NA,NA
"5258",NA,NA
"5262",NA,NA
"5273",NA,NA
"5274",NA,NA
"5275",NA,NA
"5276",NA,NA
"5282",NA,NA
"5283",NA,NA
"5323",NA,NA
"5324",NA,NA
"5325",NA,NA
"5327",NA,NA
"5383",NA,NA
"5402",NA,NA
"5405",NA,NA
"5413",NA,NA
"5414",NA,NA
"5421",NA,NA
"5430",NA,NA
"5445",NA,NA
"5452",NA,NA
"5453",NA,NA
"5456",NA,NA
"5457",NA,NA
"5486",NA,NA
"5487",NA,NA
"5507",NA,NA
"5508",NA,NA
"5512",NA,NA
"5513",NA,NA
"5514",NA,NA
"5528",NA,NA
"5542",NA,NA
"5581",NA,NA
"5618",NA,NA
"5622",NA,NA
"5641",NA,NA
"5642",NA,NA
"5643",NA,NA
"5646",NA,NA
"5648",NA,NA
"5649",NA,NA
"5650",NA,NA
"5658",NA,NA
"5659",NA,NA
"5665",NA,NA
"5666",NA,NA
"5668",NA,NA
"5671",NA,NA
"5672",NA,NA
"5751",NA,NA
"6240",NA,NA
"6579",NA,NA
"6604",NA,NA
"6605",NA,NA
"6713",NA,NA
"6739",NA,NA
"6743",NA,NA
"6750",NA,NA
"6751",NA,NA
"6796",NA,NA
"6837",NA,NA
"6839",NA,NA
"6861",NA,NA
"6874",NA,NA
"6939",NA,NA
"6940",NA,NA
"6941",NA,NA
"6942",NA,NA
"6958",NA,NA
"6959",NA,NA
"7014",NA,NA
"7073",NA,NA
"7101",NA,NA
"7162",NA,NA
"7181",NA,NA
"7236",NA,NA
"7246",NA,NA
"7247",NA,NA
"7248",NA,NA
"7253",NA,NA
"7254",NA,NA
"7263",NA,NA
"7265",NA,NA
"7317",NA,NA
"7320",NA,NA
"7506",NA,NA
"7527",NA,NA
"7688",NA,NA
"7895",NA,NA
"8000",NA,NA
"8125",NA,NA
"8280",NA,NA
"8316",NA,NA
"8332",NA,NA
"8380",NA,NA
"8389",NA,NA
"8450",NA,NA
