"BirdID","Brood.natal","Brood.rearing","Age","Year","Mass","max.temp","Air.temp","surv"
"10103","R046","R047","5",2018,7.1,30.5182705,20.1,1
"10104","R046","R047","2",2018,2.6,23.7,12.5,0
"10104","R046","R047","5",2018,7,31.75601512,20.1,1
"10104","R046","R047","10",2018,15.3,39.21120094,24.5,1
"10105","R046","R047","5",2018,8.6,32.43851595,20.1,1
"10105","R046","R047","2",2018,3.2,22.7,12.5,1
"10106","R049","R046","2",2018,1.9,29.4,17.2,1
"10107","R049","R046","2",2018,4,28.6,17.2,1
"10107","R049","R046","10",2018,8.5,35.9,17.5,1
"10107","R049","R046","5",2018,6,33.2,18.5,0
"10108","R049","R046","5",2018,8.2,34.1,18.1,1
"10108","R049","R046","10",2018,18.1,37.76923792,17.4,1
"10108","R049","R046","2",2018,4,28.42473308,17.4,1
"10109","R049","R046","10",2018,19.4,39.95103649,17.4,1
"10109","R049","R046","2",2018,4.4,26.50809841,17.5,1
"10109","R049","R046","5",2018,8.4,32.3,17.8,1
"10110","R047","R049","5",2018,9,33.37967845,19.8,1
"10110","R047","R049","10",2018,19.4,38.0194199,23.4,1
"10110","R047","R049","2",2018,3.2,33.11409263,18.4,1
"10110","R047","R049","12",2018,22.2,39.28066948,17.5,1
"10111","R047","R049","12",2018,14.6,37.16007365,17.7,1
"10111","R047","R049","5",2018,5.8,33.15682803,19.7,1
"10111","R047","R049","10",2018,11.7,37.9429786,23.5,1
"10111","R047","R049","2",2018,2.5,32.52562723,18.4,1
"10112","R047","R049","5",2018,9.2,34.94829325,19.6,1
"10112","R047","R049","10",2018,20.8,39.23000248,23.5,0
"10112","R047","R049","2",2018,3.5,31.44554468,18.5,1
"10112","R047","R049","12",2018,23,37.5,17.4,1
"10113","R047","R049","5",2018,4.6,35.30622919,19.5,1
"10113","R047","R049","2",2018,2.7,29.46690336,18.5,1
"10114","R048","R050","2",2018,4.3,31.39960413,15.1,1
"10114","R048","R050","10",2018,19.8,38.98951211,19.5,1
"10114","R048","R050","5",2018,9.7,32.4,16.8,1
"10114","R048","R050","12",2018,22.6,40,23.4,1
"10115","R048","R050","2",2018,3.2,30.86999218,15.1,1
"10115","R048","R050","5",2018,5.5,30.6,16.9,1
"10116","R050","R048","10",2018,25.1,38.40495088,16.4,1
"10116","R050","R048","2",2018,6,31.58297204,15,1
"10116","R050","R048","5",2018,13.1,33.6863101,13.9,0
"10117","R050","R048","5",2018,11.5,32.26111543,13.9,1
"10117","R050","R048","10",2018,22.8,37.06469667,16.4,1
"10117","R050","R048","2",2018,5.1,35.36837244,14.2,1
"10118","R050","R050","5",2018,7,33.7,16.7,1
"10118","R050","R050","2",2018,3.7,32.10390534,14.2,1
"10118","R050","R050","12",2018,13,38.50666804,23.4,0
"10118","R050","R050","10",2018,12.1,36.83575748,19.5,1
"10119","R050","R050","5",2018,12.9,34.77885051,16.6,1
"10119","R050","R050","12",2018,23.9,40.3,23.4,1
"10119","R050","R050","10",2018,23.5,38.96692304,19.5,1
"10119","R050","R050","2",2018,5.9,30.53909582,14.2,1
"10121","R056","R060","2",2018,3.7,31.29179639,17.7,1
"10122","R056","R060","5",2018,7.9,29.87815821,16.9,1
"10122","R056","R060","10",2018,11.5,36.37472068,19.2,1
"10122","R056","R060","12",2018,12.4,38.82027522,21.9,1
"10122","R056","R060","2",2018,3.4,31.09982122,17.5,1
"10123","R056","R060","2",2018,3.6,30.2333435,17.5,1
"10123","R056","R060","10",2018,15.7,37.00787833,19.2,1
"10123","R056","R060","5",2018,9.3,32.33610141,16.9,1
"10123","R056","R060","12",2018,19.4,38.55960599,21.9,1
"10124","R056","R056","10",2018,7.4,33.50322994,19.1,1
"10124","R056","R056","2",2018,2.5,27.64259983,17.5,1
"10124","R056","R056","5",2018,5.7,33.73803847,17.1,1
"10125","R060","R056","12",2018,23.7,39.26166661,20.8,1
"10125","R060","R056","2",2018,5.6,31.72208516,17.4,1
"10125","R060","R056","5",2018,9.8,35.2215518,17.1,1
"10125","R060","R056","10",2018,21.7,37.79134695,19,1
"10126","R060","R056","10",2018,26.6,38.360278,19,1
"10126","R060","R056","2",2018,3.7,29.63187034,17.4,1
"10126","R060","R056","5",2018,11.5,38.27538969,17.1,1
"10126","R060","R056","12",2018,27.9,39.2638361,20.7,0
"10127","R060","R056","10",2018,16,36.1525858,19.1,1
"10127","R060","R056","5",2018,6.3,32.32484043,17.1,0
"10127","R060","R056","12",2018,19,38.7022183,20.8,0
"10127","R060","R056","2",2018,2.2,29.1,17.4,1
"10128","R053","R054","5",2018,8.5,33.7,17.8,1
"10128","R053","R054","12",2018,22.1,39.62811512,19.5,1
"10128","R053","R054","10",2018,19.3,38.32193257,19.1,1
"10128","R053","R054","2",2018,3.6,32.97471525,17.9,1
"10129","R053","R054","2",2018,1.9,31.66704008,17.9,1
"10130","R053","R054","5",2018,8.1,33.7,17.8,1
"10130","R053","R054","2",2018,4,32.7,18,1
"10130","R053","R054","12",2018,18.5,38.72353636,19.6,1
"10130","R053","R054","10",2018,17.8,36.96307956,19.1,1
"10131","R053","R054","12",2018,23.3,41.67660061,19.6,1
"10131","R053","R054","10",2018,20,38.12875745,19.1,1
"10131","R053","R054","5",2018,8.4,35.8,17.8,0
"10131","R053","R054","2",2018,4,31.3,18,1
"10132","R054","R053","10",2018,19.1,39.06238749,19.2,1
"10132","R054","R053","12",2018,21.2,36.75134452,19.2,0
"10132","R054","R053","2",2018,3.9,27.4,18.4,1
"10132","R054","R053","5",2018,7.5,33.93503777,17.3,1
"10133","R054","R053","2",2018,1.8,24.4,18.4,1
"10134","R054","R053","5",2018,9.6,32.9,17.4,0
"10134","R054","R053","2",2018,3.7,25.9,18.5,1
"10134","R054","R053","12",2018,24.7,38.48833736,19.2,1
"10134","R054","R053","10",2018,22.1,38.28685558,19.2,0
"10135","R054","R053","2",2018,4.2,26.9,18.5,1
"10136","R051","R062","10",2018,16.6,35.6435941,17.9,1
"10136","R051","R062","5",2018,7.3,33.7731877,14.6,1
"10136","R051","R062","12",2018,16.6,37.51754586,19.1,1
"10136","R051","R062","2",2018,3.9,31.4,17.8,1
"10137","R051","R062","2",2018,5,31.5,17.8,0
"10137","R051","R062","5",2018,7.3,32.23873638,14.5,0
"10137","R051","R062","12",2018,16.3,37.84093614,19.2,1
"10137","R051","R062","10",2018,15.7,37.39690143,18.1,1
"10138","R051","R062","5",2018,7.1,32.13111632,14.5,0
"10138","R051","R062","10",2018,21.6,36.78591298,17.7,1
"10138","R051","R062","2",2018,3.2,30.8,17.5,1
"10138","R051","R062","12",2018,22.6,37.96634764,19.2,1
"10139","R062","R051","10",2018,28.2,38.65939263,16.6,1
"10139","R062","R051","5",2018,9.8,33.67359876,14.5,1
"10139","R062","R051","12",2018,27.1,39.44396068,16.9,0
"10139","R062","R051","2",2018,4.3,35.11942339,17.1,0
"10140","R062","R051","2",2018,2.4,32.6,17.1,1
"10140","R062","R051","12",2018,16,37.44984778,17.3,1
"10140","R062","R051","10",2018,13,36.71700826,16.5,1
"10140","R062","R051","5",2018,4.1,29.18260781,14.5,1
"10141","R062","R051","12",2018,26.1,37.91122768,16.8,1
"10141","R062","R051","2",2018,5.8,32.3,17.1,1
"10141","R062","R051","5",2018,11.8,31.49851989,14.5,1
"10141","R062","R051","10",2018,27,39.45078624,16.8,1
"10142","R052","R055","2",2018,5.2,32.76435271,20.4,1
"10142","R052","R055","10",2018,23.4,37.83095146,17.5,1
"10142","R052","R055","5",2018,10.2,34.63084996,14.5,0
"10142","R052","R055","12",2018,24.9,37.827773,17.4,1
"10143","R052","R055","12",2018,24.7,36.95451731,17.3,0
"10143","R052","R055","5",2018,11.5,34.92318,14.5,1
"10143","R052","R055","10",2018,24.8,40.38831164,17.4,1
"10143","R052","R055","2",2018,6.5,32.01792649,20.4,1
"10144","R057","R058","5",2018,12.3,33.90885845,19.4,1
"10144","R057","R058","12",2018,25.7,38.41879734,20.2,1
"10144","R057","R058","2",2018,4.7,34.01105762,20.5,1
"10144","R057","R058","10",2018,25.2,40.20834459,23.7,1
"10145","R057","R058","2",2018,4.4,33.59226017,20.5,1
"10145","R057","R058","12",2018,24.2,38.85601641,20.2,1
"10145","R057","R058","5",2018,11.7,35.16133629,19.5,1
"10145","R057","R058","10",2018,24.3,39.73751461,23.7,1
"10146","R057","R058","12",2018,23.2,39.86269306,20.2,1
"10146","R057","R058","5",2018,10.9,35.2779168,19.5,1
"10146","R057","R058","10",2018,20.4,39.2761197,23.7,1
"10146","R057","R058","2",2018,4.3,32.73220312,20.5,1
"10147","R058","R061","5",2018,7.7,31.5,19.2,1
